Fact_ID,Date,Security_ID,Measure,Value
784,2018-02-12,20,Open,227.49001
784,2018-02-12,20,High,230.38001
784,2018-02-12,20,Low,226.10001
784,2018-02-12,20,Close,229.19
784,2018-02-12,20,AdjClose,205.02535
784,2018-02-12,20,Volume,3290400
785,2018-02-13,20,Open,229.71001
785,2018-02-13,20,High,231.97
785,2018-02-13,20,Low,228.92999
785,2018-02-13,20,Close,231.36
785,2018-02-13,20,AdjClose,206.96655
785,2018-02-13,20,Volume,2523600
786,2018-02-14,20,Open,229.45
786,2018-02-14,20,High,232.87
786,2018-02-14,20,Low,228.47
786,2018-02-14,20,Close,232
786,2018-02-14,20,AdjClose,207.53911
786,2018-02-14,20,Volume,2337800
787,2018-02-15,20,Open,233.31
787,2018-02-15,20,High,234.89999
787,2018-02-15,20,Low,230.88001
787,2018-02-15,20,Close,234.87
787,2018-02-15,20,AdjClose,211.34538
787,2018-02-15,20,Volume,2127500
788,2018-02-16,20,Open,234.97
788,2018-02-16,20,High,238.44
788,2018-02-16,20,Low,233.39
788,2018-02-16,20,Close,236.67
788,2018-02-16,20,AdjClose,212.9651
788,2018-02-16,20,Volume,2221800
789,2018-02-20,20,Open,234.53999
789,2018-02-20,20,High,236.67
789,2018-02-20,20,Low,233.91
789,2018-02-20,20,Close,235.07001
789,2018-02-20,20,AdjClose,211.52538
789,2018-02-20,20,Volume,2675900
790,2018-02-21,20,Open,234.71001
790,2018-02-21,20,High,237.86
790,2018-02-21,20,Low,232.10001
790,2018-02-21,20,Close,232.17999
790,2018-02-21,20,AdjClose,208.92482
790,2018-02-21,20,Volume,2561400
791,2018-02-22,20,Open,232.42999
791,2018-02-22,20,High,237.37
791,2018-02-22,20,Low,232.26
791,2018-02-22,20,Close,236
791,2018-02-22,20,AdjClose,212.36221
791,2018-02-22,20,Volume,2284500
792,2018-02-23,20,Open,236.85001
792,2018-02-23,20,High,237.89
792,2018-02-23,20,Low,234.39
792,2018-02-23,20,Close,237.02
792,2018-02-23,20,AdjClose,213.28005
792,2018-02-23,20,Volume,1616700
793,2018-02-26,20,Open,239.01
793,2018-02-26,20,High,244.86
793,2018-02-26,20,Low,238.51
793,2018-02-26,20,Close,244.14
793,2018-02-26,20,AdjClose,219.68692
793,2018-02-26,20,Volume,3086800
794,2018-02-27,20,Open,244.61
794,2018-02-27,20,High,244.67
794,2018-02-27,20,Low,240.72
794,2018-02-27,20,Close,240.78
794,2018-02-27,20,AdjClose,216.66347
794,2018-02-27,20,Volume,1778300
795,2018-02-28,20,Open,241.64
795,2018-02-28,20,High,242.28
795,2018-02-28,20,Low,235.39999
795,2018-02-28,20,Close,235.51
795,2018-02-28,20,AdjClose,211.92128
795,2018-02-28,20,Volume,2461400
796,2018-03-01,20,Open,236.14999
796,2018-03-01,20,High,236.83
796,2018-03-01,20,Low,229.53
796,2018-03-01,20,Close,231.34
796,2018-03-01,20,AdjClose,208.16896
796,2018-03-01,20,Volume,3487100
797,2018-03-02,20,Open,229.75
797,2018-03-02,20,High,231.27
797,2018-03-02,20,Low,226.33
797,2018-03-02,20,Close,230.37
797,2018-03-02,20,AdjClose,207.29611
797,2018-03-02,20,Volume,2912800
798,2018-03-05,20,Open,230
798,2018-03-05,20,High,233.71001
798,2018-03-05,20,Low,228.53
798,2018-03-05,20,Close,232.81
798,2018-03-05,20,AdjClose,209.49173
798,2018-03-05,20,Volume,2235300
799,2018-03-06,20,Open,234.05
799,2018-03-06,20,High,235.92
799,2018-03-06,20,Low,230.8
799,2018-03-06,20,Close,233.66
799,2018-03-06,20,AdjClose,210.25658
799,2018-03-06,20,Volume,2091100
800,2018-03-07,20,Open,231.22
800,2018-03-07,20,High,236.22
800,2018-03-07,20,Low,230.59
800,2018-03-07,20,Close,235.57001
800,2018-03-07,20,AdjClose,211.97528
800,2018-03-07,20,Volume,2213800
801,2018-03-08,20,Open,236.35001
801,2018-03-08,20,High,237.69
801,2018-03-08,20,Low,234.12
801,2018-03-08,20,Close,236.34
801,2018-03-08,20,AdjClose,212.66817
801,2018-03-08,20,Volume,1955200
802,2018-03-09,20,Open,238
802,2018-03-09,20,High,241.37
802,2018-03-09,20,Low,236.17
802,2018-03-09,20,Close,241.35001
802,2018-03-09,20,AdjClose,217.17635
802,2018-03-09,20,Volume,1840900
803,2018-03-12,20,Open,242.10001
803,2018-03-12,20,High,243.10001
803,2018-03-12,20,Low,239.3
803,2018-03-12,20,Close,239.8
803,2018-03-12,20,AdjClose,215.78162
803,2018-03-12,20,Volume,2151300
804,2018-03-13,20,Open,240.89999
804,2018-03-13,20,High,242.97
804,2018-03-13,20,Low,236.89
804,2018-03-13,20,Close,237.57001
804,2018-03-13,20,AdjClose,213.77496
804,2018-03-13,20,Volume,2009900
805,2018-03-14,20,Open,238.8
805,2018-03-14,20,High,239.32001
805,2018-03-14,20,Low,233.85001
805,2018-03-14,20,Close,234.28999
805,2018-03-14,20,AdjClose,210.82346
805,2018-03-14,20,Volume,2239700
806,2018-03-15,20,Open,235.22
806,2018-03-15,20,High,238.08
806,2018-03-15,20,Low,234.2
806,2018-03-15,20,Close,235.87
806,2018-03-15,20,AdjClose,212.24524
806,2018-03-15,20,Volume,1770500
807,2018-03-16,20,Open,235.67
807,2018-03-16,20,High,238.17
807,2018-03-16,20,Low,235.67
807,2018-03-16,20,Close,237.22
807,2018-03-16,20,AdjClose,213.46001
807,2018-03-16,20,Volume,4858000
808,2018-03-19,20,Open,236.01
808,2018-03-19,20,High,236.33
808,2018-03-19,20,Low,230.26
808,2018-03-19,20,Close,231.56
808,2018-03-19,20,AdjClose,208.36688
808,2018-03-19,20,Volume,2621700
809,2018-03-20,20,Open,232.12
809,2018-03-20,20,High,234.39
809,2018-03-20,20,Low,231.58
809,2018-03-20,20,Close,232.45
809,2018-03-20,20,AdjClose,209.16776
809,2018-03-20,20,Volume,1728000
810,2018-03-21,20,Open,233
810,2018-03-21,20,High,237.22
810,2018-03-21,20,Low,232.31
810,2018-03-21,20,Close,234.14
810,2018-03-21,20,AdjClose,210.68852
810,2018-03-21,20,Volume,1588300
811,2018-03-22,20,Open,232.03999
811,2018-03-22,20,High,232.12
811,2018-03-22,20,Low,222.8
811,2018-03-22,20,Close,223.17
811,2018-03-22,20,AdjClose,200.81728
811,2018-03-22,20,Volume,4295500
812,2018-03-23,20,Open,223.5
812,2018-03-23,20,High,224.27
812,2018-03-23,20,Low,215.27
812,2018-03-23,20,Close,215.36
812,2018-03-23,20,AdjClose,193.78949
812,2018-03-23,20,Volume,4221200
813,2018-03-26,20,Open,217.86
813,2018-03-26,20,High,220.8
813,2018-03-26,20,Low,215.17999
813,2018-03-26,20,Close,220.24001
813,2018-03-26,20,AdjClose,198.18076
813,2018-03-26,20,Volume,3574000
814,2018-03-27,20,Open,221.02
814,2018-03-27,20,High,221.86
814,2018-03-27,20,Low,214.73
814,2018-03-27,20,Close,215.87
814,2018-03-27,20,AdjClose,194.24844
814,2018-03-27,20,Volume,2696700
815,2018-03-28,20,Open,217.23
815,2018-03-28,20,High,219.66
815,2018-03-28,20,Low,214.91
815,2018-03-28,20,Close,216.53999
815,2018-03-28,20,AdjClose,194.85133
815,2018-03-28,20,Volume,2522900
816,2018-03-29,20,Open,217.78999
816,2018-03-29,20,High,221.38001
816,2018-03-29,20,Low,217.46001
816,2018-03-29,20,Close,219.52
816,2018-03-29,20,AdjClose,197.53287
816,2018-03-29,20,Volume,2643000
817,2018-04-02,20,Open,218.05
817,2018-04-02,20,High,218.72
817,2018-04-02,20,Low,209.47
817,2018-04-02,20,Close,212.62
817,2018-04-02,20,AdjClose,191.32398
817,2018-04-02,20,Volume,3840800
818,2018-04-03,20,Open,213
818,2018-04-03,20,High,216.46001
818,2018-04-03,20,Low,210.92999
818,2018-04-03,20,Close,216.33
818,2018-04-03,20,AdjClose,194.66237
818,2018-04-03,20,Volume,3006800
819,2018-04-04,20,Open,212.39
819,2018-04-04,20,High,217.92
819,2018-04-04,20,Low,211.12
819,2018-04-04,20,Close,217.56
819,2018-04-04,20,AdjClose,195.76917
819,2018-04-04,20,Volume,2488800
820,2018-04-05,20,Open,218.64
820,2018-04-05,20,High,220.31
820,2018-04-05,20,Low,216.56
820,2018-04-05,20,Close,218.67
820,2018-04-05,20,AdjClose,196.76796
820,2018-04-05,20,Volume,2879900
821,2018-04-06,20,Open,217.39999
821,2018-04-06,20,High,218.85001
821,2018-04-06,20,Low,211
821,2018-04-06,20,Close,212.25
821,2018-04-06,20,AdjClose,190.99101
821,2018-04-06,20,Volume,2503900
822,2018-04-09,20,Open,213.75
