Fact_ID,Date,Security_ID,Measure,Value
1259,2020-01-02,20,Open,177.67999
1259,2020-01-02,20,High,180.01
1259,2020-01-02,20,Low,177.14
1259,2020-01-02,20,Close,180
1259,2020-01-02,20,AdjClose,170.86255
1259,2020-01-02,20,Volume,3601700
1260,2020-01-03,20,Open,177.02
1260,2020-01-03,20,High,178.66
1260,2020-01-03,20,Low,175.63001
1260,2020-01-03,20,Close,178.45
1260,2020-01-03,20,AdjClose,169.39122
1260,2020-01-03,20,Volume,2466900
1261,2020-01-06,20,Open,177.14999
1261,2020-01-06,20,High,178.71001
1261,2020-01-06,20,Low,176.35001
1261,2020-01-06,20,Close,178.62
1261,2020-01-06,20,AdjClose,169.55258
1261,2020-01-06,20,Volume,1998000
1262,2020-01-07,20,Open,178.28
1262,2020-01-07,20,High,178.51
1262,2020-01-07,20,Low,176.82001
1262,2020-01-07,20,Close,177.89999
1262,2020-01-07,20,AdjClose,168.86913
1262,2020-01-07,20,Volume,2173000
1263,2020-01-08,20,Open,178
1263,2020-01-08,20,High,181.5
1263,2020-01-08,20,Low,177.64999
1263,2020-01-08,20,Close,180.63001
1263,2020-01-08,20,AdjClose,171.46057
1263,2020-01-08,20,Volume,2758300
1264,2020-01-09,20,Open,181.51
1264,2020-01-09,20,High,181.59
1264,2020-01-09,20,Low,179.76
1264,2020-01-09,20,Close,181.2
1264,2020-01-09,20,AdjClose,172.00163
1264,2020-01-09,20,Volume,2746300
1265,2020-01-10,20,Open,181.61
1265,2020-01-10,20,High,182.17999
1265,2020-01-10,20,Low,180.14
1265,2020-01-10,20,Close,180.47
1265,2020-01-10,20,AdjClose,171.3087
1265,2020-01-10,20,Volume,2103800
1266,2020-01-13,20,Open,180.94
1266,2020-01-13,20,High,182.23
1266,2020-01-13,20,Low,180.36
1266,2020-01-13,20,Close,180.92
1266,2020-01-13,20,AdjClose,171.73584
1266,2020-01-13,20,Volume,2090800
1267,2020-01-14,20,Open,180.92
1267,2020-01-14,20,High,182.55
1267,2020-01-14,20,Low,180.21001
1267,2020-01-14,20,Close,181.37
1267,2020-01-14,20,AdjClose,172.16298
1267,2020-01-14,20,Volume,2911200
1268,2020-01-15,20,Open,181.42
1268,2020-01-15,20,High,181.86
1268,2020-01-15,20,Low,179.17999
1268,2020-01-15,20,Close,179.78
1268,2020-01-15,20,AdjClose,170.65372
1268,2020-01-15,20,Volume,2482200
1269,2020-01-16,20,Open,180.67999
1269,2020-01-16,20,High,181.2
1269,2020-01-16,20,Low,179.69
1269,2020-01-16,20,Close,181.01
1269,2020-01-16,20,AdjClose,171.82127
1269,2020-01-16,20,Volume,2149900
1270,2020-01-17,20,Open,181
1270,2020-01-17,20,High,182.14999
1270,2020-01-17,20,Low,180.7
1270,2020-01-17,20,Close,181.35001
1270,2020-01-17,20,AdjClose,172.14404
1270,2020-01-17,20,Volume,3690100
1271,2020-01-21,20,Open,181.85001
1271,2020-01-21,20,High,181.91
1271,2020-01-21,20,Low,178.63001
1271,2020-01-21,20,Close,179.39
1271,2020-01-21,20,AdjClose,170.28352
1271,2020-01-21,20,Volume,3367700
1272,2020-01-22,20,Open,179.51
1272,2020-01-22,20,High,180.57001
1272,2020-01-22,20,Low,177.88001
1272,2020-01-22,20,Close,178.03
1272,2020-01-22,20,AdjClose,168.99254
1272,2020-01-22,20,Volume,2420200
1273,2020-01-23,20,Open,177.07001
1273,2020-01-23,20,High,178.44
1273,2020-01-23,20,Low,176.39
1273,2020-01-23,20,Close,177.74001
1273,2020-01-23,20,AdjClose,168.71727
1273,2020-01-23,20,Volume,2358400
1274,2020-01-24,20,Open,178.49001
1274,2020-01-24,20,High,179.81
1274,2020-01-24,20,Low,177.53
1274,2020-01-24,20,Close,178.14999
1274,2020-01-24,20,AdjClose,169.10646
1274,2020-01-24,20,Volume,2643100
1275,2020-01-27,20,Open,179.86
1275,2020-01-27,20,High,180.59
1275,2020-01-27,20,Low,175.53999
1275,2020-01-27,20,Close,175.63001
1275,2020-01-27,20,AdjClose,166.7144
1275,2020-01-27,20,Volume,4361400
1276,2020-01-28,20,Open,171.89999
1276,2020-01-28,20,High,172.34
1276,2020-01-28,20,Low,165.05
1276,2020-01-28,20,Close,165.58
1276,2020-01-28,20,AdjClose,157.17456
1276,2020-01-28,20,Volume,8920700
1277,2020-01-29,20,Open,166.35001
1277,2020-01-29,20,High,166.47
1277,2020-01-29,20,Low,161.53
1277,2020-01-29,20,Close,162
