Fact_ID,Date,Security_ID,Measure,Value
1512,2021-01-04,20,Open,175
1512,2021-01-04,20,High,176.2
1512,2021-01-04,20,Low,170.55
1512,2021-01-04,20,Close,171.87
1512,2021-01-04,20,AdjClose,169.22003
1512,2021-01-04,20,Volume,2996200
1513,2021-01-05,20,Open,172.01
1513,2021-01-05,20,High,173.25
1513,2021-01-05,20,Low,170.64999
1513,2021-01-05,20,Close,171.58
1513,2021-01-05,20,AdjClose,168.93449
1513,2021-01-05,20,Volume,2295300
1514,2021-01-06,20,Open,172.72
1514,2021-01-06,20,High,175.57001
1514,2021-01-06,20,Low,172.03999
1514,2021-01-06,20,Close,174.19
1514,2021-01-06,20,AdjClose,171.50426
1514,2021-01-06,20,Volume,3346400
1515,2021-01-07,20,Open,171.56
1515,2021-01-07,20,High,173.46001
1515,2021-01-07,20,Low,166.16
1515,2021-01-07,20,Close,169.72
1515,2021-01-07,20,AdjClose,167.10318
1515,2021-01-07,20,Volume,5863400
1516,2021-01-08,20,Open,169.17
1516,2021-01-08,20,High,169.53999
1516,2021-01-08,20,Low,164.61
1516,2021-01-08,20,Close,166.62
1516,2021-01-08,20,AdjClose,164.05096
1516,2021-01-08,20,Volume,4808100
1517,2021-01-11,20,Open,166.10001
1517,2021-01-11,20,High,167.14
1517,2021-01-11,20,Low,165
1517,2021-01-11,20,Close,165.2
1517,2021-01-11,20,AdjClose,162.65286
1517,2021-01-11,20,Volume,2736600
1518,2021-01-12,20,Open,165.89999
1518,2021-01-12,20,High,167.17999
1518,2021-01-12,20,Low,164.08
1518,2021-01-12,20,Close,166.51
1518,2021-01-12,20,AdjClose,163.94267
1518,2021-01-12,20,Volume,2949100
1519,2021-01-13,20,Open,167.27
1519,2021-01-13,20,High,167.74001
1519,2021-01-13,20,Low,166.05
1519,2021-01-13,20,Close,166.28
1519,2021-01-13,20,AdjClose,163.71622
1519,2021-01-13,20,Volume,2098000
1520,2021-01-14,20,Open,167.27
1520,2021-01-14,20,High,167.36
1520,2021-01-14,20,Low,165.23
1520,2021-01-14,20,Close,166.41
1520,2021-01-14,20,AdjClose,163.84422
1520,2021-01-14,20,Volume,2895400
1521,2021-01-15,20,Open,165.63001
1521,2021-01-15,20,High,166.26
1521,2021-01-15,20,Low,163.38001
1521,2021-01-15,20,Close,165.55
1521,2021-01-15,20,AdjClose,162.99747
1521,2021-01-15,20,Volume,3550700
1522,2021-01-19,20,Open,167.26
1522,2021-01-19,20,High,169.55
1522,2021-01-19,20,Low,166.8
1522,2021-01-19,20,Close,169.12
1522,2021-01-19,20,AdjClose,166.51242
1522,2021-01-19,20,Volume,3903200
1523,2021-01-20,20,Open,169.03999
1523,2021-01-20,20,High,170.58
1523,2021-01-20,20,Low,168.42999
1523,2021-01-20,20,Close,170.22
1523,2021-01-20,20,AdjClose,167.59547
1523,2021-01-20,20,Volume,2672300
1524,2021-01-21,20,Open,170.22
1524,2021-01-21,20,High,171.49001
1524,2021-01-21,20,Low,169.39
1524,2021-01-21,20,Close,170.67
1524,2021-01-21,20,AdjClose,168.03853
1524,2021-01-21,20,Volume,2688200
1525,2021-01-22,20,Open,170.2
1525,2021-01-22,20,High,170.2
1525,2021-01-22,20,Low,167.24001
1525,2021-01-22,20,Close,169.03999
1525,2021-01-22,20,AdjClose,166.43364
1525,2021-01-22,20,Volume,2349300
1526,2021-01-25,20,Open,168.88001
1526,2021-01-25,20,High,172.49001
1526,2021-01-25,20,Low,168.23
1526,2021-01-25,20,Close,170.39
1526,2021-01-25,20,AdjClose,167.76285
1526,2021-01-25,20,Volume,3353100
