Fact_ID,Date,Security_ID,Measure,Value
505,2017-01-03,20,Open,178.83
505,2017-01-03,20,High,180
505,2017-01-03,20,Low,177.22
505,2017-01-03,20,Close,178.05
505,2017-01-03,20,AdjClose,155.6225
505,2017-01-03,20,Volume,2509300
506,2017-01-04,20,Open,178.03
506,2017-01-04,20,High,178.89999
506,2017-01-04,20,Low,177.61
506,2017-01-04,20,Close,178.32001
506,2017-01-04,20,AdjClose,155.85848
506,2017-01-04,20,Volume,1542000
507,2017-01-05,20,Open,178.26
507,2017-01-05,20,High,179.14
507,2017-01-05,20,Low,176.89
507,2017-01-05,20,Close,177.71001
507,2017-01-05,20,AdjClose,155.32532
507,2017-01-05,20,Volume,1447800
508,2017-01-06,20,Open,177.28999
508,2017-01-06,20,High,178.60001
508,2017-01-06,20,Low,175.8
508,2017-01-06,20,Close,178.23
508,2017-01-06,20,AdjClose,155.77983
508,2017-01-06,20,Volume,1625000
509,2017-01-09,20,Open,178.37
509,2017-01-09,20,High,178.38001
509,2017-01-09,20,Low,177.2
509,2017-01-09,20,Close,177.27
509,2017-01-09,20,AdjClose,154.94077
509,2017-01-09,20,Volume,1622600
510,2017-01-10,20,Open,177.36
510,2017-01-10,20,High,177.49001
510,2017-01-10,20,Low,176.31
510,2017-01-10,20,Close,176.58
510,2017-01-10,20,AdjClose,154.33769
510,2017-01-10,20,Volume,2030100
511,2017-01-11,20,Open,176.63001
511,2017-01-11,20,High,178.45
511,2017-01-11,20,Low,176.39
511,2017-01-11,20,Close,177.89
511,2017-01-11,20,AdjClose,155.48268
511,2017-01-11,20,Volume,1579600
512,2017-01-12,20,Open,176.97
512,2017-01-12,20,High,177.7
512,2017-01-12,20,Low,175.75
512,2017-01-12,20,Close,177.44
512,2017-01-12,20,AdjClose,155.08937
512,2017-01-12,20,Volume,1321800
513,2017-01-13,20,Open,177.58
513,2017-01-13,20,High,177.91
513,2017-01-13,20,Low,176.83
513,2017-01-13,20,Close,177.39
513,2017-01-13,20,AdjClose,155.04564
513,2017-01-13,20,Volume,1265500
514,2017-01-17,20,Open,177
514,2017-01-17,20,High,177.67999
514,2017-01-17,20,Low,176.25
514,2017-01-17,20,Close,177.26
514,2017-01-17,20,AdjClose,154.93201
514,2017-01-17,20,Volume,1557500
515,2017-01-18,20,Open,177.89999
515,2017-01-18,20,High,179.44
515,2017-01-18,20,Low,177.38001
515,2017-01-18,20,Close,178.49001
515,2017-01-18,20,AdjClose,156.00708
515,2017-01-18,20,Volume,1804600
516,2017-01-19,20,Open,179.25
516,2017-01-19,20,High,179.8
516,2017-01-19,20,Low,177.76
516,2017-01-19,20,Close,178.67999
516,2017-01-19,20,AdjClose,156.17317
