Fact_ID,Date,Security_ID,Measure,Value
1007,2019-01-02,20,Open,187.82001
1007,2019-01-02,20,High,190.99001
1007,2019-01-02,20,Low,186.7
1007,2019-01-02,20,Close,190.95
1007,2019-01-02,20,AdjClose,175.34848
1007,2019-01-02,20,Volume,2475200
1008,2019-01-03,20,Open,188.28
1008,2019-01-03,20,High,188.28
1008,2019-01-03,20,Low,182.89
1008,2019-01-03,20,Close,183.76
1008,2019-01-03,20,AdjClose,168.74596
1008,2019-01-03,20,Volume,3358200
1009,2019-01-04,20,Open,186.75
1009,2019-01-04,20,High,191.98
1009,2019-01-04,20,Low,186.03
1009,2019-01-04,20,Close,191.32001
1009,2019-01-04,20,AdjClose,175.68828
1009,2019-01-04,20,Volume,2995100
1010,2019-01-07,20,Open,191.36
1010,2019-01-07,20,High,192.3
1010,2019-01-07,20,Low,188.66
1010,2019-01-07,20,Close,190.88001
1010,2019-01-07,20,AdjClose,175.28424
1010,2019-01-07,20,Volume,2162200
1011,2019-01-08,20,Open,193
1011,2019-01-08,20,High,194.11
1011,2019-01-08,20,Low,189.58
1011,2019-01-08,20,Close,191.67999
1011,2019-01-08,20,AdjClose,176.01886
1011,2019-01-08,20,Volume,2479800
1012,2019-01-09,20,Open,193.25
1012,2019-01-09,20,High,193.94
1012,2019-01-09,20,Low,191.38001
1012,2019-01-09,20,Close,192.3
1012,2019-01-09,20,AdjClose,176.58821
1012,2019-01-09,20,Volume,2163600
1013,2019-01-10,20,Open,190.87
1013,2019-01-10,20,High,193.81
1013,2019-01-10,20,Low,189.39999
1013,2019-01-10,20,Close,193.60001
1013,2019-01-10,20,AdjClose,177.78198
1013,2019-01-10,20,Volume,1939300
1014,2019-01-11,20,Open,191.84
1014,2019-01-11,20,High,192.69
1014,2019-01-11,20,Low,190.86
1014,2019-01-11,20,Close,192.21001
1014,2019-01-11,20,AdjClose,176.50555
1014,2019-01-11,20,Volume,2359900
1015,2019-01-14,20,Open,190.64
1015,2019-01-14,20,High,192.83
1015,2019-01-14,20,Low,189.8
1015,2019-01-14,20,Close,192.17
1015,2019-01-14,20,AdjClose,176.46884
1015,2019-01-14,20,Volume,1914400
1016,2019-01-15,20,Open,188.84
1016,2019-01-15,20,High,190.67999
1016,2019-01-15,20,Low,187.86
1016,2019-01-15,20,Close,188.94
1016,2019-01-15,20,AdjClose,173.50272
1016,2019-01-15,20,Volume,2737300
1017,2019-01-16,20,Open,188.51
1017,2019-01-16,20,High,190.44
1017,2019-01-16,20,Low,188.42
1017,2019-01-16,20,Close,189.48
1017,2019-01-16,20,AdjClose,173.99861
1017,2019-01-16,20,Volume,2492100
1018,2019-01-17,20,Open,188.56
1018,2019-01-17,20,High,192.89999
1018,2019-01-17,20,Low,187.89999
1018,2019-01-17,20,Close,191.71001
1018,2019-01-17,20,AdjClose,176.0464
1018,2019-01-17,20,Volume,1978900
1019,2019-01-18,20,Open,194.34
1019,2019-01-18,20,High,196.39999
